發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月20日 15時00分13秒,臺東縣達仁鄉台9戊線10.8K北上路肩,死亡1;受傷0,營業用-半聯結車,120.841546,22.252594
110年01月20日 16時03分00秒,臺南市佳里區鎮山里佳南路口 / 臺南市佳里區鎮山里勝利路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.180075,23.148626
110年01月20日 16時21分00秒,澎湖縣馬公市縣202線 4公里200.0公尺處北側向外側,死亡1;受傷0,普通重型-機車,119.631988,23.583061
110年01月20日 18時02分09秒,雲林縣口湖鄉湖口村台17線道路北上107公里附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.173944,23.552485
110年01月20日 18時55分00秒,屏東縣鹽埔鄉新埔路839號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.564391,22.753349
110年01月21日 00時25分57秒,宜蘭縣宜蘭市東港橋上宜市路燈桿6265號前,死亡1;受傷0,普通重型-機車,121.758758,24.758010
110年01月21日 06時26分00秒,桃園市桃園區三民路2段口 / 桃園市桃園區民生路,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.310445,24.999649
110年01月21日 12時50分24秒,宜蘭縣三星鄉上將路七段與雙和一路口,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.644155,24.677092
110年01月21日 17時52分00秒,臺中市西區中興里公益路 / 臺中市西區中興里美村路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.661669,24.150855
110年01月21日 18時20分00秒,臺東縣東河鄉台11線 126公里400.0公尺處附近,死亡1;受傷4,自用-小客車;民營公車-大客車;乘客-人;乘客-人;乘客-人;乘客-人,121.344379,23.059007
110年01月21日 20時05分00秒,彰化縣大村鄉黃厝村美港路415號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.582267,23.984253
110年01月21日 20時18分00秒,雲林縣四湖鄉林厝村文化路20巷,死亡1;受傷0,普通重型-機車,120.193566,23.637083
110年01月21日 20時55分00秒,桃園市楊梅區中山北路1段16號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,121.149606,24.907525
